,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
8719,Department of Natural Resources,Wayne Fitzgerrell State Park - Jefferson County,11712 East Windy Lane,Whittington,62897,Jefferson,12,Mike Bost,117,Severin Dave,59,Dale Fowler,In Progress,0,2016,9588,2,0,0,Residential,Not provided,Not provided
8720,Department of Corrections,Joliet Treatment Center,2848 West McDonough Street,Joliet,60436,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Progress,0,2016,250,1,0,0,Detention & Correc,Detention & Correc,Not provided
8721,Department of Transportation,Carlinville Maintenance Storage Facility - Macoupin County,445 North Plum Street,Carlinville,62626,Macoupin,13,Rodney L. Davis,95,Bourne Avery,48,Andy Manar,In Use,2014,2014,5964,1,0,0,Storage,Storage,Not provided
8722,Department of Transportation,Springfield - District #6 Headquarters,650 North Lincoln Avenue,Springfield,62702,Sangamon,13,Rodney L. Davis,99,Wojcicki Jimene Sara,50,Wm. Sam McCann,In Use,2014,2014,4590,1,0,0,Storage,Storage,Not provided
8723,Department of Transportation,Rock Falls Maintenance Storage Facility - Whiteside Co.,1004 East Route 30,Rock Falls,61071,Whiteside,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Progress,0,2016,6000,1,0,0,Storage,Storage,Not provided
8724,Department of Transportation,Freeport Maintenance Storage Facility,1856 Bolton Road,Freeport,61032,Stephenson,17,Cheri Bustos,89,Stewart Brian W.,45,Tim Bivins,In Progress,0,2016,6000,1,0,0,Storage,Storage,Not provided
8725,Department of Natural Resources,Powerton Lake Fish and Wildlife Area - Tazewell County,7982 S. Park Road,Pekin,61546,Tazewell,17,Cheri Bustos,91,Unes Michael D.,46,David Koehler,In Progress,2015,2015,144,1,0,0,Utiility & Miscellan,Storage,Not provided
8726,Department of Transportation,Springfield Sign Shop,650 North Lincoln Avenue,Springfield,62702,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2014,2014,4575,1,0,0,Storage,Industrial,Not provided
8727,Chicago State University,Chicago State University - Cook County,9501 S. King Drive,Chicago,60628,Cook,1,Bobby L. Rush,34,"Sims, Jr. Elgie R.",17,Donne E. Trotter,In Progress,0,2016,27500,1,0,0,Education,Not provided,Not provided
8728,Department of Human Services,Ludeman Developmental Center - Park Forest,114 N. Orchard Drive,Park Rorest,60466,Cook,2,Robin Kelly,80,DeLuca Anthony,40,Toi W. Hutchinson,In Use,2014,2014,640,1,0,0,Storage,Storage,Not provided
8730,Department of Transportation,Shawneetown Sub Section,10455 Highway IL Route 1,Junction,62954,Gallatin,15,John Shimkus,115,Bryant Terri,59,Dale Fowler,In Use,2013,2013,3600,1,0,0,Storage,Storage,Not provided
8732,Department of Transportation,LaSalle Maintenance Facility - LaSalle County,2991 E 350TH ROAD,LaSalle,61301,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2011,2011,1200,1,0,0,Storage,Not provided,Not provided
8735,Department of Transportation,Morton Maintenance Storage Facility - Tazewell County,1971 N. Morton Avenue,Morton,61550,Tazewell,18,Darin M. LaHood,88,Sommer Keith P.,44,William E. Brady,In Use,2012,2012,740,1,0,1,Storage,Storage,Not provided
8736,Department of Transportation,Morton Maintenance Storage Facility - Tazewell County,1971 N. Morton Avenue,Morton,61550,Tazewell,18,Darin M. LaHood,88,Sommer Keith P.,44,William E. Brady,In Use,2012,2012,986,1,0,1,Storage,Storage,Not provided
8738,Department of Transportation,Morton Maintenance Storage Facility - Tazewell County,1971 N. Morton Avenue,Morton,61550,Tazewell,18,Darin M. LaHood,88,Sommer Keith P.,44,William E. Brady,In Use,2011,2011,388,1,0,1,Storage,Storage,Not provided
8741,Department of Corrections,Pontiac Correctional Center - Livingston County,700 Weset Lincoln Street,Pontiac,61764,Livingston,16,Adam Kinzinger,106,Bennett Thomas M.,53,Jason A. Barickman,In Use,0,2012,128,1,0,0,Detention & Correc,Detention & Correc,Not provided
8745,Department of Human Services,Ludeman Developmental Center - Park Forest,114 North Orchard Drive,Park Forest,60466,Cook,2,Robin Kelly,80,DeLuca Anthony,40,Toi W. Hutchinson,In Use,2014,2014,10054,1,0,0,Health Care,Storage,Not provided
8746,Southern Illinois University,Southern Illinois University - Carbondale,210 Physical Plant Drive,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,0,2015,1625,1,0,0,Storage,Storage,Not provided
8775,Department of Transportation,Springfield Sign Shop,1035 West Reynolds,Springfield,62702,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Progress,0,2016,3600,1,0,0,Storage,Industrial,Not provided
8777,Southern Illinois University,Southern Illinois University - Edwardsville,3690 Stadium Drive,Edwardsville,62025,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2013,2013,1746,1,0,0,Education,Utiility & Miscellan,Not provided
8778,Southern Illinois University,Southern Illinois University - Edwardsville,3690 Stadium Drive,Edwardsville,62025,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2012,2012,2715,1,0,0,Storage,Utiility & Miscellan,Not provided
8779,Southern Illinois University,Southern Illinois University - Edwardsville,65 Circle Drive,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2014,2014,31455,4,0,0,Education,Assembly,Not provided
8780,Department of Veterans' Affairs,Chicago Veterans' Home - Cook County,4250 North Oak Park Avenue,Chicago,60634,Cook,5,Mike Quigley,19,Martwick Robert,10,John G. Mulroe,In Progress,0,2015,185525,5,0,0,Health Care,Not provided,Not provided
